47280,97176,1.1278e+05,1.6253e+05,2.2035e+05,2.7395e+05,3.3997e+05,4.7495e+05,5.9842e+05,7.4835e+05
83068,1.8123e+05,2.1145e+05,2.8905e+05,3.9073e+05,4.7848e+05,6.0653e+05,8.6818e+05,1.0733e+06,1.349e+06
3.3766e+05,3.2575e+05,3.3167e+05,3.3016e+05,3.3639e+05,3.5106e+05,3.2889e+05,4.6877e+05,5.7817e+05,7.2181e+05
49028,92662,1.1077e+05,1.6141e+05,2.1364e+05,2.7036e+05,3.3967e+05,4.6529e+05,5.8554e+05,7.1115e+05
81205,1.6784e+05,1.9733e+05,2.7792e+05,3.6977e+05,4.6552e+05,6.0673e+05,8.3929e+05,1.0352e+06,1.2877e+06
3.4784e+05,3.4017e+05,3.4041e+05,3.3913e+05,3.4342e+05,3.4188e+05,3.4112e+05,4.7595e+05,5.9064e+05,7.4325e+05
49906,95103,1.1334e+05,1.6505e+05,2.2075e+05,2.7286e+05,3.3891e+05,4.7319e+05,6.0945e+05,7.4993e+05
60748,1.1522e+05,1.3666e+05,1.9139e+05,2.6047e+05,3.1914e+05,3.9592e+05,5.2604e+05,6.2617e+05,7.6845e+05
3.1669e+05,3.2496e+05,3.244e+05,3.3478e+05,3.2027e+05,3.0713e+05,3.2205e+05,4.6274e+05,5.7293e+05,7.1543e+05
51574,1.0454e+05,1.0816e+05,1.5127e+05,2.1825e+05,2.7166e+05,3.2855e+05,4.7259e+05,5.5191e+05,7.1396e+05
50261,1.0137e+05,1.1837e+05,1.6582e+05,2.1842e+05,2.7101e+05,3.4556e+05,4.804e+05,6.0148e+05,7.5678e+05
3.8584e+05,3.8659e+05,3.9172e+05,4.0257e+05,3.9449e+05,3.9372e+05,4.0223e+05,5.4761e+05,6.4597e+05,8.1092e+05
50593,96886,1.1223e+05,1.6095e+05,2.1847e+05,2.6687e+05,3.3682e+05,4.8011e+05,5.8725e+05,7.424e+05
