56170,1.2925e+05,1.3821e+05,1.9108e+05,2.6625e+05,3.3007e+05,4.2163e+05,5.9614e+05,7.5794e+05,9.6442e+05
89056,1.8371e+05,2.1621e+05,3.1777e+05,4.1898e+05,5.0884e+05,6.4699e+05,9.6027e+05,1.287e+06,1.6611e+06
4.0619e+05,3.5618e+05,4.0254e+05,4.3006e+05,3.8663e+05,4.1752e+05,3.8771e+05,5.6702e+05,7.1535e+05,9.5582e+05
55494,1.1564e+05,1.3653e+05,1.9223e+05,2.5543e+05,3.1481e+05,3.9325e+05,5.7214e+05,7.3738e+05,9.5311e+05
57966,1.1556e+05,1.4891e+05,1.7535e+05,2.7393e+05,3.2303e+05,4.0491e+05,6.3257e+05,7.6538e+05,1.016e+06
3.4587e+05,3.8352e+05,3.4893e+05,3.5303e+05,4.0385e+05,4.1789e+05,4.2049e+05,5.0894e+05,7.2465e+05,9.6641e+05
56731,1.1429e+05,1.3375e+05,1.8643e+05,2.5363e+05,3.2015e+05,4.0366e+05,5.7942e+05,7.3112e+05,9.3994e+05
4.1274e+05,4.1162e+05,3.8753e+05,4.0708e+05,4.2696e+05,4.6968e+05,4.0968e+05,5.8423e+05,7.375e+05,9.8454e+05
58586,1.1833e+05,1.379e+05,1.9437e+05,2.6485e+05,3.2568e+05,4.1645e+05,6.092e+05,7.7303e+05,1.0066e+06
90490,1.7468e+05,2.1851e+05,2.9404e+05,3.9987e+05,4.9299e+05,6.3841e+05,9.5278e+05,1.261e+06,1.7353e+06
55033,1.1439e+05,1.3233e+05,1.8658e+05,2.5786e+05,2.9931e+05,4.0795e+05,5.7494e+05,7.2729e+05,9.4367e+05
92879,1.9507e+05,2.31e+05,3.2117e+05,4.3817e+05,5.4817e+05,6.7267e+05,9.9555e+05,1.2633e+06,1.7338e+06
4.0084e+05,3.4975e+05,3.5669e+05,3.5743e+05,3.834e+05,3.3778e+05,3.6032e+05,5.3467e+05,6.3847e+05,8.6177e+05
54711,83776,1.2975e+05,1.7663e+05,2.4812e+05,2.9289e+05,3.8192e+05,5.6114e+05,7.1375e+05,9.0787e+05
51884,91958,1.2046e+05,2.103e+05,2.2893e+05,3.1042e+05,3.5279e+05,5.3477e+05,6.8842e+05,9.006e+05
